sequence,urn,document,lexeme
14,urn:cts:compnov:bible.genesis:1.14,vulgate,ls.n46529
14,urn:cts:compnov:bible.genesis:1.14,targum,ls.n13804
14,urn:cts:compnov:bible.genesis:1.14,targum,ls.n46529
14,urn:cts:compnov:bible.genesis:1.14,targum,ls.n31413
14,urn:cts:compnov:bible.genesis:1.14,septuagint,ls.n13804
14,urn:cts:compnov:bible.genesis:1.14,septuagint,lexent.n18209
14,urn:cts:compnov:bible.genesis:1.14,septuagint,ls.n27045
14,urn:cts:compnov:bible.genesis:1.14,septuagint,ls.n46529
15,urn:cts:compnov:bible.genesis:1.15,vulgate,ls.n27045
15,urn:cts:compnov:bible.genesis:1.15,vulgate,ls.n21574
15,urn:cts:compnov:bible.genesis:1.15,vulgate,ls.n17516
15,urn:cts:compnov:bible.genesis:1.15,vulgate,ls.n46529
15,urn:cts:compnov:bible.genesis:1.15,targum,ls.n46529
15,urn:cts:compnov:bible.genesis:1.15,septuagint,ls.n46529
15,urn:cts:compnov:bible.genesis:1.15,septuagint,ls.n27045
15,urn:cts:compnov:bible.genesis:1.15,septuagint,ls.n17516
16,urn:cts:compnov:bible.genesis:1.16,vulgate,ls.n17516
16,urn:cts:compnov:bible.genesis:1.16,vulgate,lexent.n38036
16,urn:cts:compnov:bible.genesis:1.16,targum,ls.n17516
16,urn:cts:compnov:bible.genesis:1.16,targum,ls.n14697
16,urn:cts:compnov:bible.genesis:1.16,septuagint,ls.n17516
17,urn:cts:compnov:bible.genesis:1.17,vulgate,ls.n37010
17,urn:cts:compnov:bible.genesis:1.17,vulgate,lexent.n15868
17,urn:cts:compnov:bible.genesis:1.17,vulgate,ls.n27045
17,urn:cts:compnov:bible.genesis:1.17,targum,ls.n37010
17,urn:cts:compnov:bible.genesis:1.17,targum,lexent.n15868
17,urn:cts:compnov:bible.genesis:1.17,septuagint,ls.n37010
17,urn:cts:compnov:bible.genesis:1.17,septuagint,lexent.n15868
17,urn:cts:compnov:bible.genesis:1.17,septuagint,ls.n27045
18,urn:cts:compnov:bible.genesis:1.18,vulgate,lexent.n38036
18,urn:cts:compnov:bible.genesis:1.18,vulgate,ls.n14559
18,urn:cts:compnov:bible.genesis:1.18,vulgate,ls.n50883
18,urn:cts:compnov:bible.genesis:1.18,vulgate,ls.n46529
18,urn:cts:compnov:bible.genesis:1.18,targum,ls.n14697
18,urn:cts:compnov:bible.genesis:1.18,targum,ls.n14559
18,urn:cts:compnov:bible.genesis:1.18,targum,ls.n46529
18,urn:cts:compnov:bible.genesis:1.18,septuagint,ls.n14559
19,urn:cts:compnov:bible.genesis:1.19,vulgate,ls.n17516
19,urn:cts:compnov:bible.genesis:1.19,vulgate,ls.n46529
19,urn:cts:compnov:bible.genesis:1.19,vulgate,ls.n27858
19,urn:cts:compnov:bible.genesis:1.19,targum,ls.n46529
19,urn:cts:compnov:bible.genesis:1.19,targum,ls.n27858
19,urn:cts:compnov:bible.genesis:1.19,septuagint,ls.n17516
19,urn:cts:compnov:bible.genesis:1.19,septuagint,ls.n46529
19,urn:cts:compnov:bible.genesis:1.19,septuagint,ls.n27858
20,urn:cts:compnov:bible.genesis:1.20,vulgate,ls.n13804
20,urn:cts:compnov:bible.genesis:1.20,vulgate,ls.n51238
20,urn:cts:compnov:bible.genesis:1.20,targum,ls.n13804
20,urn:cts:compnov:bible.genesis:1.20,septuagint,ls.n13804
20,urn:cts:compnov:bible.genesis:1.20,septuagint,ls.n17516
20,urn:cts:compnov:bible.genesis:1.20,septuagint,ls.n46529
21,urn:cts:compnov:bible.genesis:1.21,vulgate,ls.n11543
21,urn:cts:compnov:bible.genesis:1.21,vulgate,ls.n51238
21,urn:cts:compnov:bible.genesis:1.21,vulgate,ls.n50883
21,urn:cts:compnov:bible.genesis:1.21,vulgate,ls.n46529
21,urn:cts:compnov:bible.genesis:1.21,targum,ls.n11543
21,urn:cts:compnov:bible.genesis:1.21,targum,ls.n46529
21,urn:cts:compnov:bible.genesis:1.21,septuagint,ls.n17516
22,urn:cts:compnov:bible.genesis:1.22,vulgate,ls.n13804
22,urn:cts:compnov:bible.genesis:1.22,vulgate,ls.n11570
22,urn:cts:compnov:bible.genesis:1.22,vulgate,ls.n29924
22,urn:cts:compnov:bible.genesis:1.22,vulgate,ls.n41195
22,urn:cts:compnov:bible.genesis:1.22,targum,ls.n13804
22,urn:cts:compnov:bible.genesis:1.22,targum,ls.n11570
22,urn:cts:compnov:bible.genesis:1.22,targum,ls.n29924
22,urn:cts:compnov:bible.genesis:1.22,targum,ls.n41195
22,urn:cts:compnov:bible.genesis:1.22,septuagint,ls.n13804
22,urn:cts:compnov:bible.genesis:1.22,septuagint,ls.n11570
22,urn:cts:compnov:bible.genesis:1.22,septuagint,ls.n29924
22,urn:cts:compnov:bible.genesis:1.22,septuagint,ls.n41195
23,urn:cts:compnov:bible.genesis:1.23,vulgate,ls.n17516
23,urn:cts:compnov:bible.genesis:1.23,vulgate,ls.n46529
23,urn:cts:compnov:bible.genesis:1.23,vulgate,ls.n27858
23,urn:cts:compnov:bible.genesis:1.23,targum,ls.n46529
23,urn:cts:compnov:bible.genesis:1.23,targum,ls.n27858
23,urn:cts:compnov:bible.genesis:1.23,septuagint,ls.n17516
23,urn:cts:compnov:bible.genesis:1.23,septuagint,ls.n46529
23,urn:cts:compnov:bible.genesis:1.23,septuagint,ls.n27858
24,urn:cts:compnov:bible.genesis:1.24,vulgate,ls.n13804
24,urn:cts:compnov:bible.genesis:1.24,vulgate,ls.n51238
24,urn:cts:compnov:bible.genesis:1.24,vulgate,ls.n17516
24,urn:cts:compnov:bible.genesis:1.24,vulgate,ls.n46529
24,urn:cts:compnov:bible.genesis:1.24,targum,ls.n13804
24,urn:cts:compnov:bible.genesis:1.24,septuagint,ls.n13804
24,urn:cts:compnov:bible.genesis:1.24,septuagint,ls.n17516
24,urn:cts:compnov:bible.genesis:1.24,septuagint,ls.n46529
25,urn:cts:compnov:bible.genesis:1.25,vulgate,ls.n17516
25,urn:cts:compnov:bible.genesis:1.25,vulgate,ls.n50883
25,urn:cts:compnov:bible.genesis:1.25,vulgate,ls.n46529
25,urn:cts:compnov:bible.genesis:1.25,targum,ls.n17516
25,urn:cts:compnov:bible.genesis:1.25,targum,ls.n46529
25,urn:cts:compnov:bible.genesis:1.25,septuagint,ls.n17516
26,urn:cts:compnov:bible.genesis:1.26,vulgate,ls.n17516
26,urn:cts:compnov:bible.genesis:1.26,vulgate,lexent.n38036
26,urn:cts:compnov:bible.genesis:1.26,vulgate,ls.n29781
26,urn:cts:compnov:bible.genesis:1.26,targum,ls.n13804
26,urn:cts:compnov:bible.genesis:1.26,targum,ls.n17516
26,urn:cts:compnov:bible.genesis:1.26,targum,ls.n41252
26,urn:cts:compnov:bible.genesis:1.26,septuagint,ls.n13804
26,urn:cts:compnov:bible.genesis:1.26,septuagint,ls.n17516
26,urn:cts:compnov:bible.genesis:1.26,septuagint,ls.n41252
27,urn:cts:compnov:bible.genesis:1.27,vulgate,ls.n11543
27,urn:cts:compnov:bible.genesis:1.27,targum,ls.n11543
27,urn:cts:compnov:bible.genesis:1.27,septuagint,ls.n17516
28,urn:cts:compnov:bible.genesis:1.28,vulgate,ls.n11570
28,urn:cts:compnov:bible.genesis:1.28,vulgate,ls.n29924
28,urn:cts:compnov:bible.genesis:1.28,vulgate,ls.n41195
28,urn:cts:compnov:bible.genesis:1.28,vulgate,ls.n45870
28,urn:cts:compnov:bible.genesis:1.28,vulgate,lexent.n15868
28,urn:cts:compnov:bible.genesis:1.28,vulgate,ls.n14697
28,urn:cts:compnov:bible.genesis:1.28,vulgate,ls.n29781
28,urn:cts:compnov:bible.genesis:1.28,targum,ls.n13804
28,urn:cts:compnov:bible.genesis:1.28,targum,ls.n11570
28,urn:cts:compnov:bible.genesis:1.28,targum,ls.n29924
28,urn:cts:compnov:bible.genesis:1.28,targum,ls.n41195
28,urn:cts:compnov:bible.genesis:1.28,targum,lexent.n15868
28,urn:cts:compnov:bible.genesis:1.28,targum,ls.n14697
28,urn:cts:compnov:bible.genesis:1.28,targum,ls.n41252
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n13804
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n11570
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n29924
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n41195
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n14697
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n21886
28,urn:cts:compnov:bible.genesis:1.28,septuagint,ls.n41252
29,urn:cts:compnov:bible.genesis:1.29,vulgate,ls.n13804
29,urn:cts:compnov:bible.genesis:1.29,vulgate,ls.n12628
29,urn:cts:compnov:bible.genesis:1.29,vulgate,ls.n12664
29,urn:cts:compnov:bible.genesis:1.29,vulgate,ls.n20077
29,urn:cts:compnov:bible.genesis:1.29,vulgate,ls.n46529
29,urn:cts:compnov:bible.genesis:1.29,targum,ls.n13804
29,urn:cts:compnov:bible.genesis:1.29,targum,ls.n12628
29,urn:cts:compnov:bible.genesis:1.29,targum,ls.n43521
29,urn:cts:compnov:bible.genesis:1.29,targum,ls.n46529
29,urn:cts:compnov:bible.genesis:1.29,septuagint,ls.n13804
29,urn:cts:compnov:bible.genesis:1.29,septuagint,ls.n12628
29,urn:cts:compnov:bible.genesis:1.29,septuagint,ls.n43521
29,urn:cts:compnov:bible.genesis:1.29,septuagint,ls.n46529
29,urn:cts:compnov:bible.genesis:1.29,septuagint,ls.n20077
30,urn:cts:compnov:bible.genesis:1.30,vulgate,ls.n29781
30,urn:cts:compnov:bible.genesis:1.30,vulgate,ls.n46529
30,urn:cts:compnov:bible.genesis:1.30,vulgate,ls.n51238
30,urn:cts:compnov:bible.genesis:1.30,vulgate,ls.n20077
30,urn:cts:compnov:bible.genesis:1.30,vulgate,ls.n17516
30,urn:cts:compnov:bible.genesis:1.30,targum,ls.n41252
30,urn:cts:compnov:bible.genesis:1.30,targum,ls.n46529
30,urn:cts:compnov:bible.genesis:1.30,septuagint,ls.n41252
30,urn:cts:compnov:bible.genesis:1.30,septuagint,ls.n20077
30,urn:cts:compnov:bible.genesis:1.30,septuagint,ls.n17516
30,urn:cts:compnov:bible.genesis:1.30,septuagint,ls.n46529
31,urn:cts:compnov:bible.genesis:1.31,vulgate,ls.n50883
31,urn:cts:compnov:bible.genesis:1.31,vulgate,ls.n17516
31,urn:cts:compnov:bible.genesis:1.31,vulgate,ls.n46529
31,urn:cts:compnov:bible.genesis:1.31,vulgate,ls.n27858
31,urn:cts:compnov:bible.genesis:1.31,targum,ls.n17516
31,urn:cts:compnov:bible.genesis:1.31,targum,ls.n46529
31,urn:cts:compnov:bible.genesis:1.31,targum,ls.n27858
31,urn:cts:compnov:bible.genesis:1.31,septuagint,ls.n17516
31,urn:cts:compnov:bible.genesis:1.31,septuagint,ls.n46529
31,urn:cts:compnov:bible.genesis:1.31,septuagint,ls.n27858
32,urn:cts:compnov:bible.genesis:2.1,vulgate,ls.n34910
32,urn:cts:compnov:bible.genesis:2.1,vulgate,ls.n46529
32,urn:cts:compnov:bible.genesis:2.1,vulgate,ls.n33028
32,urn:cts:compnov:bible.genesis:2.1,targum,ls.n46529
32,urn:cts:compnov:bible.genesis:2.1,septuagint,ls.n34910
32,urn:cts:compnov:bible.genesis:2.1,septuagint,ls.n46529
32,urn:cts:compnov:bible.genesis:2.1,septuagint,ls.n33028
33,urn:cts:compnov:bible.genesis:2.2,vulgate,ls.n17516
33,urn:cts:compnov:bible.genesis:2.2,vulgate,ls.n41284
33,urn:cts:compnov:bible.genesis:2.2,targum,ls.n46529
33,urn:cts:compnov:bible.genesis:2.2,targum,ls.n17516
33,urn:cts:compnov:bible.genesis:2.2,targum,ls.n41284
33,urn:cts:compnov:bible.genesis:2.2,septuagint,ls.n34910
33,urn:cts:compnov:bible.genesis:2.2,septuagint,ls.n17516
33,urn:cts:compnov:bible.genesis:2.2,septuagint,ls.n41284
34,urn:cts:compnov:bible.genesis:2.3,vulgate,ls.n42490
34,urn:cts:compnov:bible.genesis:2.3,vulgate,ls.n7622
34,urn:cts:compnov:bible.genesis:2.3,vulgate,ls.n11543
34,urn:cts:compnov:bible.genesis:2.3,vulgate,ls.n17516
34,urn:cts:compnov:bible.genesis:2.3,targum,ls.n42490
34,urn:cts:compnov:bible.genesis:2.3,targum,ls.n41284
34,urn:cts:compnov:bible.genesis:2.3,targum,ls.n11543
34,urn:cts:compnov:bible.genesis:2.3,targum,ls.n17516
34,urn:cts:compnov:bible.genesis:2.3,septuagint,ls.n42490
34,urn:cts:compnov:bible.genesis:2.3,septuagint,ls.n7622
34,urn:cts:compnov:bible.genesis:2.3,septuagint,ls.n22350
34,urn:cts:compnov:bible.genesis:2.3,septuagint,ls.n17516
35,urn:cts:compnov:bible.genesis:2.4,vulgate,ls.n46529
35,urn:cts:compnov:bible.genesis:2.4,vulgate,ls.n11543
35,urn:cts:compnov:bible.genesis:2.4,vulgate,ls.n17516
35,urn:cts:compnov:bible.genesis:2.4,targum,ls.n46529
35,urn:cts:compnov:bible.genesis:2.4,targum,ls.n11543
35,urn:cts:compnov:bible.genesis:2.4,septuagint,ls.n17516
35,urn:cts:compnov:bible.genesis:2.4,septuagint,ls.n46529
36,urn:cts:compnov:bible.genesis:2.5,vulgate,ls.n33000
36,urn:cts:compnov:bible.genesis:2.5,vulgate,ls.n19511
36,urn:cts:compnov:bible.genesis:2.5,vulgate,ls.n46529
36,urn:cts:compnov:bible.genesis:2.5,targum,ls.n46529
36,urn:cts:compnov:bible.genesis:2.5,targum,ls.n19511
36,urn:cts:compnov:bible.genesis:2.5,septuagint,ls.n33000
36,urn:cts:compnov:bible.genesis:2.5,septuagint,ls.n19511
36,urn:cts:compnov:bible.genesis:2.5,septuagint,ls.n46529
36,urn:cts:compnov:bible.genesis:2.5,septuagint,lexent.n15868
38,urn:cts:compnov:bible.genesis:2.7,vulgate,ls.n18596
38,urn:cts:compnov:bible.genesis:2.7,vulgate,ls.n17516
38,urn:cts:compnov:bible.genesis:2.7,vulgate,ls.n46529
38,urn:cts:compnov:bible.genesis:2.7,vulgate,ls.n51238
38,urn:cts:compnov:bible.genesis:2.7,targum,ls.n11543
38,urn:cts:compnov:bible.genesis:2.7,targum,ls.n46529
38,urn:cts:compnov:bible.genesis:2.7,targum,ls.n26988
38,urn:cts:compnov:bible.genesis:2.7,septuagint,ls.n18596
38,urn:cts:compnov:bible.genesis:2.7,septuagint,ls.n17516
38,urn:cts:compnov:bible.genesis:2.7,septuagint,ls.n46529
39,urn:cts:compnov:bible.genesis:2.8,vulgate,ls.n37010
39,urn:cts:compnov:bible.genesis:2.8,vulgate,ls.n18596
39,urn:cts:compnov:bible.genesis:2.8,targum,ls.n37010
39,urn:cts:compnov:bible.genesis:2.8,targum,ls.n11543
39,urn:cts:compnov:bible.genesis:2.8,septuagint,ls.n33000
39,urn:cts:compnov:bible.genesis:2.8,septuagint,ls.n37010
39,urn:cts:compnov:bible.genesis:2.8,septuagint,ls.n18596
40,urn:cts:compnov:bible.genesis:2.9,targum,ls.n19511
40,urn:cts:compnov:bible.genesis:2.9,targum,ls.n17516
40,urn:cts:compnov:bible.genesis:2.9,targum,ls.n46529
40,urn:cts:compnov:bible.genesis:2.9,targum,ls.n42976
41,urn:cts:compnov:bible.genesis:2.10,vulgate,ls.n14559
41,urn:cts:compnov:bible.genesis:2.10,targum,ls.n14559
41,urn:cts:compnov:bible.genesis:2.10,targum,ls.n46529
41,urn:cts:compnov:bible.genesis:2.10,septuagint,ls.n14559
42,urn:cts:compnov:bible.genesis:2.11,vulgate,ls.n46529
42,urn:cts:compnov:bible.genesis:2.11,vulgate,ls.n30423
42,urn:cts:compnov:bible.genesis:2.11,targum,ls.n46529
42,urn:cts:compnov:bible.genesis:2.11,septuagint,ls.n46529
43,urn:cts:compnov:bible.genesis:2.12,vulgate,ls.n46529
43,urn:cts:compnov:bible.genesis:2.12,vulgate,ls.n24717
43,urn:cts:compnov:bible.genesis:2.12,targum,ls.n46529
43,urn:cts:compnov:bible.genesis:2.12,septuagint,ls.n46529
44,urn:cts:compnov:bible.genesis:2.13,vulgate,ls.n46529
44,urn:cts:compnov:bible.genesis:2.13,targum,ls.n46529
45,urn:cts:compnov:bible.genesis:2.14,vulgate,ls.n50077
45,urn:cts:compnov:bible.genesis:2.14,vulgate,ls.n46529
45,urn:cts:compnov:bible.genesis:2.14,targum,ls.n46529
45,urn:cts:compnov:bible.genesis:2.14,targum,ls.n33000
46,urn:cts:compnov:bible.genesis:2.15,vulgate,ls.n17964
46,urn:cts:compnov:bible.genesis:2.15,vulgate,ls.n37010
46,urn:cts:compnov:bible.genesis:2.15,targum,ls.n17964
46,urn:cts:compnov:bible.genesis:2.15,septuagint,ls.n363
46,urn:cts:compnov:bible.genesis:2.15,septuagint,ls.n18596
46,urn:cts:compnov:bible.genesis:2.15,septuagint,ls.n37010
47,urn:cts:compnov:bible.genesis:2.16,vulgate,ls.n13804
47,urn:cts:compnov:bible.genesis:2.16,targum,ls.n13804
47,urn:cts:compnov:bible.genesis:2.16,septuagint,ls.n13804
48,urn:cts:compnov:bible.genesis:2.17,vulgate,lexent.n15868
48,urn:cts:compnov:bible.genesis:2.17,vulgate,ls.n29707
48,urn:cts:compnov:bible.genesis:2.17,targum,ls.n42976
48,urn:cts:compnov:bible.genesis:2.17,targum,ls.n29707
48,urn:cts:compnov:bible.genesis:2.17,septuagint,lexent.n15868
48,urn:cts:compnov:bible.genesis:2.17,septuagint,ls.n29707
49,urn:cts:compnov:bible.genesis:2.18,vulgate,ls.n13804
49,urn:cts:compnov:bible.genesis:2.18,vulgate,ls.n46529
49,urn:cts:compnov:bible.genesis:2.18,vulgate,ls.n17516
49,urn:cts:compnov:bible.genesis:2.18,targum,ls.n13804
49,urn:cts:compnov:bible.genesis:2.18,targum,ls.n46529
49,urn:cts:compnov:bible.genesis:2.18,targum,ls.n17516
49,urn:cts:compnov:bible.genesis:2.18,septuagint,ls.n13804
49,urn:cts:compnov:bible.genesis:2.18,septuagint,ls.n17516
50,urn:cts:compnov:bible.genesis:2.19,vulgate,ls.n18596
50,urn:cts:compnov:bible.genesis:2.19,vulgate,ls.n50883
50,urn:cts:compnov:bible.genesis:2.19,vulgate,ls.n51238
50,urn:cts:compnov:bible.genesis:2.19,vulgate,ls.n46529
50,urn:cts:compnov:bible.genesis:2.19,targum,ls.n11543
50,urn:cts:compnov:bible.genesis:2.19,targum,ls.n46529
50,urn:cts:compnov:bible.genesis:2.19,septuagint,ls.n18596
51,urn:cts:compnov:bible.genesis:2.20,vulgate,ls.n3134
51,urn:cts:compnov:bible.genesis:2.20,vulgate,ls.n24717
51,urn:cts:compnov:bible.genesis:2.20,targum,ls.n24717
51,urn:cts:compnov:bible.genesis:2.20,septuagint,ls.n31146
51,urn:cts:compnov:bible.genesis:2.20,septuagint,ls.n24717
51,urn:cts:compnov:bible.genesis:2.20,septuagint,ls.n46529
52,urn:cts:compnov:bible.genesis:2.21,vulgate,ls.n17964
52,urn:cts:compnov:bible.genesis:2.21,vulgate,ls.n41195
52,urn:cts:compnov:bible.genesis:2.21,targum,ls.n17964
52,urn:cts:compnov:bible.genesis:2.21,targum,ls.n37010
52,urn:cts:compnov:bible.genesis:2.21,septuagint,ls.n17964
52,urn:cts:compnov:bible.genesis:2.21,septuagint,ls.n41195
53,urn:cts:compnov:bible.genesis:2.22,vulgate,ls.n17964
53,urn:cts:compnov:bible.genesis:2.22,vulgate,lexent.n15868
53,urn:cts:compnov:bible.genesis:2.22,targum,ls.n17964
53,urn:cts:compnov:bible.genesis:2.22,targum,lexent.n15868
